iter	RMSE
457	19176.22786
458	19174.30222
459	19172.76622
460	19171.58301
461	19170.55911
462	19170.49755
463	19163.74879
464	19162.60267
465	19157.35974
466	19157.357
467	19155.90795
468	19155.03586
469	19147.12296
470	19144.84099
471	19142.31283
472	19138.81833
473	19138.81765
474	19138.52441
475	19136.74572
476	19135.73435
477	19135.73503
478	19135.57263
479	19134.69893
480	19133.04324
481	19133.04256
482	19133.04187
483	19131.3086
484	19126.73306
485	19123.43114
486	19123.43114
487	19123.43251
488	19122.71665
489	19122.71459
490	19122.71254
491	19116.9024
492	19116.90309
493	19116.9024
494	19114.85143
495	19114.79998
496	19114.07419
497	19112.09358
498	19112.09426
499	19111.73338
500	19105.68039
501	19103.14842
502	19101.5003
503	19101.5003
504	19099.36048
505	19099.36116
506	19091.66352
507	19091.64978
508	19091.61819
509	19087.96534
510	19087.96466
511	19087.0771
512	19087.04687
513	19086.7233
514	19086.71162
515	19086.71231
516	19084.62923
517	19084.61961
518	19084.61824
519	19082.17968
520	19082.16868
521	19082.16868
522	19082.16937
523	19079.95797
524	19079.95728
525	19079.30646
526	19078.67486
527	19078.66661
528	19078.66661
529	19078.6673
530	19078.66661
531	19078.66661
532	19078.66592
533	19078.6673
534	19078.66592
535	19078.42262
536	19078.13258
537	19077.66246
538	19077.66315
539	19077.66246
540	19077.65421
541	19077.64734
542	19077.05761
543	19077.05761
544	19072.50206
545	19072.49518
546	19071.42746
547	19071.42746
548	19071.42058
549	19067.52456
550	19064.51501
551	19064.50951
552	19064.50813
553	19064.50882
